row,ind,id,photo_id,date,lat,long,base_l_mm,base_w_mm,sail_l_mm,sail_h_mm,wet_wt_g,sail_hand,notes
1,001,v001,v001,2025-05-12,36.70348,-121.87532,44,23,32,14,1.7,left,
2,002,v002,v002,2025-05-12,36.70348,-121.87532,56,28,45,17,4.7,left,
3,003,v003,v003,2025-05-12,36.70348,-121.87532,32,21,31,15,1.9,left,
4,004,v004,v004,2025-05-12,36.70348,-121.87532,63,34,51,24,4.9,left,
5,005,v005,v005,2025-05-12,36.70348,-121.87532,28,14,24,10,1,left,
6,006,v006,v006,2025-05-12,36.70348,-121.87532,45,24,36,19,4.4,left,
7,007,v007,v007,2025-05-12,36.70348,-121.87532,59,30,48,20,8.9,left,
8,008,v008,v008,2025-05-12,36.70348,-121.87532,70,40,58,21,9.2,left,
9,009,v009,v009,2025-05-12,36.70348,-121.87532,35,19,24,12,1.1,left,
10,010,v010,v010,2025-05-12,36.70348,-121.87532,52,21,43,17,3.2,left,
11,011,v011,v011,2025-05-12,36.70348,-121.87532,61,35,41,19,4.2,left,
12,012,v012,v012,2025-05-12,36.70348,-121.87532,51,27,40,19,2.7,left,
13,013,v013,v013,2025-05-12,36.70348,-121.87532,46,23,32,17,1.7,left,
14,014,v014,v014,2025-05-12,36.70348,-121.87532,74,42,55,46,10.4,left,
15,015,v015,v015,2025-05-12,36.70348,-121.87532,45,27,33,14,2.1,left,
16,016,v016,v016,2025-05-12,36.70348,-121.87532,65,35,49,22,5.5,left,
17,017,v017,v017,2025-05-12,36.70348,-121.87532,39,20,31,15,1.5,left,
18,018,v018,v018,2025-05-12,36.70348,-121.87532,66,30,49,20,4.4,left,
19,019,v019,v019,2025-05-12,36.70348,-121.87532,58,29,56,19,4.8,left,
20,020,v020,v020,2025-05-12,36.70348,-121.87532,54,23,43,17,2.9,left,RE measured
21,021,v021,v021,2025-05-12,36.70348,-121.87532,31,18,28,10,1.2,left,
22,022,v022,v022,2025-05-12,36.70348,-121.87532,40,21,33,11,1.7,left,
23,023,v023,v023,2025-05-12,36.70348,-121.87532,59,28,43,16,4.9,left,
24,024,v024,v024,2025-05-12,36.70348,-121.87532,54,26,40,17,3.8,left,
25,025,v025,v025,2025-05-12,36.70348,-121.87532,44,21,36,14,2.4,left,
26,026,v026,v026,2025-05-12,36.70348,-121.87532,48,27,35,13,3,left,
27,027,v027,v027,2025-05-12,36.70348,-121.87532,34,18,28,12,1.4,left,
28,028,v028,v028,2025-05-12,36.70348,-121.87532,42,25,34,15,1.9,left,
29,029,v029,v029,2025-05-12,36.70348,-121.87532,51,33,35,17,3.5,left,
30,030,v030,v030,2025-05-12,36.70348,-121.87532,38,21,33,14,1.9,left,
31,031,v031,v031,2025-05-12,36.70348,-121.87532,44,21,37,19,2.2,left,
32,032,v032,v032,2025-05-12,36.70348,-121.87532,40,22,32,11,1.8,left,id to photo confusion
33,033,v033,v033,2025-05-12,36.70348,-121.87532,45,22,33,15,1.9,left,id to photo confusion
34,034,v034,v034,2025-05-12,36.70348,-121.87532,46,23,32,15,2.2,left,id to photo confusion
35,035,v035,v035,2025-05-12,36.70348,-121.87532,44,27,34,13,2.7,left,id to photo confusion
36,036,v036,v036,2025-05-12,36.70348,-121.87532,46,22,31,14,2.6,left,id to photo confusion
37,037,v037,v037,2025-05-12,36.70348,-121.87532,49,28,35,17,2.1,left,id to photo confusion
38,038,v038,v038,2025-05-12,36.70348,-121.87532,41,25,31,11,2.4,left,id to photo confusion
39,039,v039,v039,2025-05-12,36.70348,-121.87532,38,24,29,9,1.5,left,id to photo confusion
40,040,v040,v040,2025-05-12,36.70348,-121.87532,46,27,35,17,2.3,left,id to photo confusion
41,041,v041,v041,2025-05-12,36.70348,-121.87532,35,19,30,14,1.5,left,id to photo confusion